job_id,dataset_path,target_col,variant,seed,lookback,hidden_dim,num_layers,dropout,lr,weight_decay,n_samples,n_pids,overall_r2,fold_r2_mean,fold_r2_std,elapsed_sec
swcC_w6_s3_h20_archold_wconly_seed1234,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window6_stride3.csv,next_20wk_weight_change,wconly,1234,4,32,2,0.3,0.001,0.001,558,95,0.2713024297589518,0.2650836110115051,0.2580733277501926,11.350806951522827
swcB_w6_s1_h8_archnew_wconly_seed7777,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_8wk_weight_change,wconly,7777,4,64,2,0.2,0.001,0.001,3467,116,0.2092504067033465,0.1483364939689636,0.1710600424349428,41.79842281341553
stype_w6_s1_h20_archold_swc_no_weight_seed9999,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_no_weight,9999,4,32,2,0.3,0.001,0.001,2216,108,0.3579048348988243,0.2875510931015014,0.1515232998079974,48.132527351379395
swcA_w3_s1_h20_archnew_supportwc_seed100,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window3_stride1.csv,next_20wk_weight_change,supportwc,100,4,64,2,0.2,0.001,0.001,2570,110,0.2642189792578411,0.2148815989494323,0.107653194886695,39.37925672531128
swcC_w6_s2_h20_archold_supportwc_seed1234,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window6_stride2.csv,next_20wk_weight_change,supportwc,1234,4,32,2,0.3,0.001,0.001,970,102,0.3111585049125082,0.2624359846115112,0.2077615076445554,17.431117296218872
swcB_w6_s1_h8_archnew_supportwc_seed5678,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_8wk_weight_change,supportwc,5678,4,64,2,0.2,0.001,0.001,3467,116,0.1962004801333365,0.1306516528129577,0.1291832485265039,47.46889591217041
swcB_w6_s1_h12_archnew_supportwc_seed2048,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_12wk_weight_change,supportwc,2048,4,64,2,0.2,0.001,0.001,3037,114,0.2009535773851298,0.1119261264801025,0.0998784481142302,39.234877824783325
lkb_w6_s1_h20_archold_wconly_lkb2_seed2048,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,wconly,2048,2,32,2,0.3,0.001,0.001,2435,110,0.2597055267197296,0.2395923852920532,0.0612811521328239,46.652955055236816
swcC_w6_s3_h20_archold_supportwc_seed5555,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window6_stride3.csv,next_20wk_weight_change,supportwc,5555,4,32,2,0.3,0.001,0.001,558,95,0.2508769285026712,0.2118015170097351,0.2235130732336853,10.626699686050417
swcB_w6_s1_h8_archold_supportwc_seed100,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_8wk_weight_change,supportwc,100,4,32,2,0.3,0.001,0.001,3467,116,0.1859180184253284,0.1284751534461975,0.1084783841314697,52.616177558898926
swcA_w12_s1_h20_archnew_wconly_seed1024,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window12_stride1.csv,next_20wk_weight_change,wconly,1024,4,64,2,0.2,0.001,0.001,1583,93,0.2850417628559117,0.2227232813835144,0.2180840574209621,28.314589262008667
stype_w6_s1_h20_archnew_swc_no_diet_seed300,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_no_diet,300,4,64,2,0.2,0.001,0.001,2216,108,0.3265603354726657,0.2437090873718261,0.2127909369528126,37.12645983695984
stype_w6_s1_h20_archnew_swc_no_weight_seed300,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_no_weight,300,4,64,2,0.2,0.001,0.001,2216,108,0.3831785735996261,0.3098960995674133,0.1560363175592796,41.47876811027527
swcC_w6_s5_h20_archnew_wconly_seed5678,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window6_stride5.csv,next_20wk_weight_change,wconly,5678,4,64,2,0.2,0.001,0.001,232,83,0.2939981210019433,0.1225041151046752,0.3590425715251671,6.566067934036255
lkb_w6_s1_h20_archold_wconly_lkb8_seed100,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,wconly,100,8,32,2,0.3,0.001,0.001,1796,101,0.2989814862509484,0.2871903657913208,0.1616752694225121,38.99220371246338
swcB_w6_s1_h12_archold_wconly_seed789,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_12wk_weight_change,wconly,789,4,32,2,0.3,0.001,0.001,3037,114,0.2078967738802286,0.1168160557746887,0.1007912261082515,44.55690884590149
swcA_w5_s1_h20_archnew_supportwc_seed123,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window5_stride1.csv,next_20wk_weight_change,supportwc,123,4,64,2,0.2,0.001,0.001,2332,109,0.3039433556413963,0.2444077730178833,0.1674618251466129,52.55758047103882
stype_w6_s1_h20_archold_swc_only_weight_seed7777,/home/chris/Documents/mlife/data/cleaned/weight_windows_future_targets_all_weeks.csv,next_20wk_weight_change,swc_only_weight,7777,4,32,2,0.3,0.001,0.001,2216,108,0.2878182265096665,0.2182087540626525,0.1462404094612293,41.59873938560486
swcA_w8_s1_h20_archold_wconly_seed5678,/home/chris/Documents/mlife/data/cleaned/sweeps/sweep_window8_stride1.csv,next_20wk_weight_change,wconly,5678,4,32,2,0.3,0.001,0.001,1990,104,0.2853523706506476,0.198164415359497,0.1317981976187478,31.537240505218502
