model,variant,seed,n_samples,n_pids,fold_r2_mean,fold_r2_std,overall_r2
ridge,supportwc,42,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,42,2216,108,0.06336355823758504,0.1640215418932269,0.11192642978907541
mlp,supportwc,42,2216,108,-0.09714622000448392,0.08267098458387044,-0.026120417471555468
ridge,supportwc,69,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,69,2216,108,0.05502949283145746,0.1670129300606912,0.10214183537998989
mlp,supportwc,69,2216,108,-0.029551050192587126,0.16553457238296126,0.054265492924062464
ridge,supportwc,123,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,123,2216,108,0.054013630392621546,0.1687569135175213,0.10234295525736259
mlp,supportwc,123,2216,108,-0.07220251103047401,0.2022035694465372,0.014679903571296116
ridge,supportwc,456,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,456,2216,108,0.04469594167554096,0.16388470582272083,0.08936875584200155
mlp,supportwc,456,2216,108,-0.05071562588307525,0.20054694879405996,0.03911818427377711
ridge,supportwc,789,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,789,2216,108,0.06391018837860411,0.16581283528867397,0.10991113375881767
mlp,supportwc,789,2216,108,-0.08074454691046243,0.12465872696505705,-0.0010675684914431827
ridge,supportwc,1024,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,1024,2216,108,0.060994975495972124,0.15864419003145738,0.10814061436999423
mlp,supportwc,1024,2216,108,-0.06114006961466345,0.22358195211362725,0.03970056080339179
ridge,supportwc,2048,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,2048,2216,108,0.057400535815242223,0.15203260384348843,0.10462003842893175
mlp,supportwc,2048,2216,108,0.013395587122898811,0.1236972741934761,0.06952084433762473
ridge,supportwc,3333,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,3333,2216,108,0.06715377379935698,0.17025202586527527,0.11437733710790798
mlp,supportwc,3333,2216,108,-0.035876765668655476,0.1917763582630335,0.04699841076447653
ridge,supportwc,5555,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,5555,2216,108,0.056101235330047274,0.17322098841311237,0.10409440134512338
mlp,supportwc,5555,2216,108,-0.046179089829135524,0.17384048852934314,0.022144062526450292
ridge,supportwc,7777,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,7777,2216,108,0.06699633162597192,0.1594261106530178,0.11002725037875327
mlp,supportwc,7777,2216,108,8.068442949806797e-05,0.1499753926238085,0.062084034414353284
ridge,supportwc,9999,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,9999,2216,108,0.05806446567208732,0.16710283885196095,0.10403770508742993
mlp,supportwc,9999,2216,108,-0.04341735975159966,0.21889809604981894,0.0387056660293188
ridge,supportwc,100,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,100,2216,108,0.0659222792381188,0.1488862426275814,0.11091993340979545
mlp,supportwc,100,2216,108,-0.031622961045942935,0.22597451136666702,0.06151738857581024
ridge,supportwc,200,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,200,2216,108,0.06986044292827145,0.16669152956535066,0.1171020291034176
mlp,supportwc,200,2216,108,-0.05757753737881888,0.1647564425954867,-0.0010049508304890153
ridge,supportwc,300,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,300,2216,108,0.06791049604384365,0.15825174844713888,0.11258744801766984
mlp,supportwc,300,2216,108,-0.04208697129114651,0.21080908726767147,0.025740791713805833
ridge,supportwc,400,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,400,2216,108,0.06828539518264906,0.15470168052978486,0.11965435069656627
mlp,supportwc,400,2216,108,-0.06222386014925683,0.10417312084801093,-0.0013734338108208899
ridge,supportwc,500,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,500,2216,108,0.05396111132793628,0.16943388921775557,0.10114711484474981
mlp,supportwc,500,2216,108,-0.019836923711129707,0.11287890559219348,0.0511404642266623
ridge,supportwc,1234,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,1234,2216,108,0.06130205448716921,0.15931747803298102,0.10518736851409605
mlp,supportwc,1234,2216,108,-0.04702499085517442,0.19499038725949613,-0.013783751698818403
ridge,supportwc,5678,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,5678,2216,108,0.06183510169851827,0.16146789659905042,0.10673782385844177
mlp,supportwc,5678,2216,108,-0.025917047648545456,0.20618816071004195,0.05346180715477655
ridge,supportwc,8888,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,8888,2216,108,0.06864886958482024,0.15503703326056031,0.11432624138860126
mlp,supportwc,8888,2216,108,0.0005272289650221529,0.11150235569885805,0.06540974898210528
ridge,supportwc,31337,2216,108,0.1313831833957218,0.19043374737632338,0.19802777277438954
rf,supportwc,31337,2216,108,0.0761649433208144,0.1520980268966523,0.12120978510657343
mlp,supportwc,31337,2216,108,-0.029598734473079213,0.19293932208397627,0.03853265567399722
ridge,wconly,42,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,42,2216,108,-0.07507310783765045,0.139315603884261,-0.0077721550213667445
mlp,wconly,42,2216,108,-0.04540384186458781,0.18096679716884645,-0.0016782063072893205
ridge,wconly,69,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,69,2216,108,-0.09342784238333275,0.1456291849938509,-0.032740140754984326
mlp,wconly,69,2216,108,-0.0889825629002089,0.13724539722668533,-0.03327266309179411
ridge,wconly,123,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,123,2216,108,-0.08510337264556234,0.14657885512646165,-0.01846421233484863
mlp,wconly,123,2216,108,-0.037519006041328115,0.18486762362927708,0.02362279933827216
ridge,wconly,456,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,456,2216,108,-0.08606676032857526,0.13670351874829267,-0.025477694480089408
mlp,wconly,456,2216,108,0.07650264350692892,0.19909565479763822,0.15350183327614964
ridge,wconly,789,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
rf,wconly,789,2216,108,-0.07319452643390793,0.14319223127706507,-0.011756030831516995
mlp,wconly,789,2216,108,0.05175490546437515,0.18470262091790177,0.10425958685924908
ridge,wconly,1024,2216,108,0.15254271277260253,0.14238064839409945,0.21658852011739516
